# ratings_data.csv
#
# This file lists a number of Spelling Bee puzzles and their thresholds
# for the "good", "excellent", and "genius" ratings. We use this data to
# estimate level ratings for generated puzzles.
#
# required,optional,good,excellent,genius,date
c,himopr,8,13,18,2016-01-03
f,aehltu,8,14,20,2016-01-10
v,ehortw,6,12,18,2016-01-17
p,imortu,8,14,20,2016-01-24
u,aimnot,11,19,27,2016-01-31
d,acetvx,7,14,21,2016-02-07
f,aciloy,8,13,18,2016-02-14
o,cintuy,7,14,21,2016-02-21
n,ejmoty,7,13,19,2016-02-28
c,eimnoz,7,14,21,2016-03-06
u,acenot,8,14,20,2016-03-13
o,dimrty,6,11,16,2016-03-20
n,aiqtuy,8,15,22,2016-03-27
l,bceinv,7,15,23,2016-04-03
l,achirv,8,14,20,2016-04-10
r,finopt,7,15,23,2016-04-17
c,agilmy,7,13,19,2016-04-24
t,deghln,10,15,20,2016-05-01
l,acenow,9,16,23,2016-05-08
m,aiortu,8,15,22,2016-05-15
h,acimrt,7,13,19,2016-05-22
a,birtuy,8,14,20,2016-05-29
c,ainqtu,7,12,17,2016-06-05
o,adhint,6,11,16,2016-06-12
m,ailpry,7,14,21,2016-06-19
c,eilptx,5,10,15,2016-06-26
n,cehikt,9,18,27,2016-07-03
v,ailnot,8,15,22,2016-07-10
y,ehnopt,7,15,23,2016-07-17
o,chlpry,6,12,18,2016-07-24
u,aclort,8,15,22,2016-07-31
l,egmoty,7,13,19,2016-08-07
e,abchly,7,13,19,2016-08-14
h,emnopr,5,11,17,2016-08-21
g,cenorv,8,14,20,2016-08-28
m,eilnty,6,14,22,2016-09-04
f,aekmrt,7,12,19,2016-09-11
u,ailmnt,8,15,22,2016-09-18
a,iprtuy,8,14,20,2016-09-25
l,agnrty,5,11,17,2016-10-02
a,ciptvy,6,11,16,2016-10-09
p,afilnt,8,15,22,2016-10-16
m,aceipt,5,10,15,2016-10-23
a,bciklw,8,15,22,2016-10-30
u,cimnot,6,12,18,2016-11-06
b,elmnow,6,12,18,2016-11-13
b,acinot,8,17,26,2016-11-20
u,ceopry,7,13,19,2016-11-27
f,acilrt,8,14,20,2016-12-04
h,ceinty,8,14,20,2016-12-11
l,ainopv,7,13,19,2016-12-18
l,acefpu,7,13,19,2016-12-25
n,cefitu,8,14,20,2017-01-01
n,abchil,7,13,19,2017-01-08
l,aekmry,7,13,19,2017-01-15
e,hmnptu,5,10,15,2017-01-22
h,abcerw,5,10,15,2017-01-29
f,acilor,8,15,22,2017-02-05
b,acmnot,8,15,22,2017-02-12
n,acdhir,6,12,18,2017-02-19
e,bhiorv,7,13,19,2017-02-26
c,aimotx,7,11,15,2017-03-05
u,achort,9,15,21,2017-03-12
m,eirtxy,7,12,17,2017-03-19
g,abehlu,7,14,21,2017-03-26
u,aeimrt,9,16,23,2017-04-02
l,efntuv,7,13,19,2017-04-09
l,acnptu,6,11,16,2017-04-16
c,adimot,7,14,21,2017-04-23
i,aclqtu,7,13,19,2017-04-30
o,bhilnt,7,12,17,2017-05-07
n,acmopy,7,13,19,2017-05-14
h,aoprty,6,12,18,2017-05-21
i,cdmnou,7,13,19,2017-05-28
y,efinst,5,10,15,2017-06-04
w,aelmrt,7,13,19,2017-06-11
n,aceflu,7,13,19,2017-06-18
y,celort,6,12,18,2017-06-25
h,acelno,8,16,24,2017-07-02
p,ackort,7,14,21,2017-07-09
u,cfinot,6,11,16,2017-07-16
p,aehnty,7,14,21,2017-07-23
u,acenpt,7,12,17,2017-07-30
o,abdflr,9,17,25,2017-08-06
l,abitvy,7,15,23,2017-08-13
e,ahlpuv,6,10,14,2017-08-20
e,ahmnop,6,11,16,2017-08-27
h,acefru,7,11,15,2017-09-03
t,chilno,8,13,18,2017-09-10
c,aimrtu,7,13,19,2017-09-17
t,abeglv,8,15,22,2017-09-24
o,abelvy,6,11,16,2017-10-01
n,aeilpz,8,15,22,2017-10-08
n,abcouy,8,13,18,2017-10-15
k,ceirty,7,12,17,2017-10-22
c,efintv,6,11,16,2017-10-29
o,fghltu,7,11,15,2017-11-05
u,agnort,8,15,22,2017-11-12
y,cemnor,6,11,16,2017-11-19
u,cdnort,7,13,19,2017-11-26
b,alorty,8,15,22,2017-12-03
o,cdimty,5,10,15,2017-12-10
x,aenort,7,10,13,2017-12-17
n,aioqtu,10,16,22,2017-12-24
c,aimnty,8,14,20,2017-12-31
m,acilnt,12,23,34,2018-01-07
t,admory,10,18,26,2018-01-14
a,cgiloz,6,10,14,2018-01-21
k,ceilnt,7,12,17,2018-01-28
o,ahimpt,6,11,16,2018-02-04
l,abcnor,7,13,19,2018-02-11
r,cegmny,7,13,19,2018-02-18
a,girtuy,6,11,16,2018-02-25
p,acehit,8,16,24,2018-03-04
